vehicle_style,vehicle_size,avg_msrp,avg_pop,popularity_percentile,msrp_percentile
"Passenger Van",Large,35768.11,4020.46,97.62,69.05
"Cargo Minivan",Compact,21160.37,3965.22,95.24,40.48
"2dr SUV",Midsize,10364.76,3948.18,92.86,9.52
"4dr Hatchback",Large,65740.00,3916.00,90.48,80.95
"Passenger Van",Midsize,27827.50,3860.43,88.10,52.38
"Cargo Minivan",Midsize,17269.29,3826.14,85.71,19.05
Wagon,Large,28208.10,3424.72,83.33,54.76
"Cargo Van",Large,18589.24,3109.00,80.95,23.81
"Cargo Van",Midsize,14655.96,2763.78,78.57,14.29
"Regular Cab Pickup",Large,18797.87,2422.36,76.19,30.95
"Extended Cab Pickup",Large,25323.19,2374.53,73.81,45.24
"Passenger Minivan",Compact,18682.15,2307.84,71.43,28.57
"Crew Cab Pickup",Large,41919.90,2068.62,69.05,73.81
"Convertible SUV",Midsize,43691.67,2009.00,66.67,76.19
"Crew Cab Pickup",Compact,29515.58,1893.17,64.29,59.52
"Passenger Minivan",Large,26710.15,1825.18,61.90,47.62
"4dr Hatchback",Midsize,29940.59,1778.30,59.52,64.29
Convertible,Midsize,109162.18,1764.07,57.14,95.24
"Extended Cab Pickup",Compact,19275.79,1740.77,54.76,33.33
Coupe,Midsize,66103.23,1637.83,52.38,83.33
Coupe,Compact,78563.72,1634.52,50.00,90.48
"Passenger Minivan",Midsize,28405.04,1599.98,47.62,57.14
"4dr SUV",Large,60104.26,1490.34,45.24,78.57
"Regular Cab Pickup",Compact,9878.58,1489.49,42.86,4.76
Sedan,Compact,18639.05,1450.53,40.48,26.19
Sedan,Large,74285.44,1442.89,38.10,88.10
Wagon,Midsize,29958.80,1436.28,35.71,66.67
Convertible,Compact,66461.56,1420.23,33.33,85.71
"4dr Hatchback",Compact,20452.77,1404.38,30.95,35.71
"Cargo Van",Compact,7213.30,1330.20,28.57,0.00
"4dr SUV",Midsize,38393.60,1269.56,26.19,71.43
Sedan,Midsize,29618.44,1212.02,23.81,61.90
"2dr Hatchback",Compact,16753.36,1208.77,21.43,16.67
"4dr SUV",Compact,27384.82,1203.07,19.05,50.00
"2dr SUV",Compact,9977.79,1193.99,16.67,7.14
"Passenger Van",Compact,7573.71,1107.00,14.29,2.38
Wagon,Compact,20802.65,1061.96,11.90,38.10
"Cargo Minivan",Large,23627.67,1061.53,9.52,42.86
Coupe,Large,107882.80,972.82,7.14,92.86
"Convertible SUV",Compact,14393.27,663.88,4.76,11.90
Convertible,Large,486984.64,321.07,2.38,97.62
"2dr Hatchback",Midsize,18167.22,210.00,0.00,21.43
