make,model,vehicle_style,year,engine_hp,msrp,hp_per_1000$
Lamborghini,Reventon,Coupe,2008,650,1500000,0.43
Maybach,Landaulet,Convertible,2011,620,1380000,0.45
Maybach,Landaulet,Convertible,2012,620,1382750,0.45
Bugatti,"Veyron 16.4",Coupe,2008,1001,2065902,0.48
Bugatti,"Veyron 16.4",Coupe,2009,1001,1705769,0.59
Bugatti,"Veyron 16.4",Coupe,2008,1001,1500000,0.67
Rolls-Royce,Corniche,Convertible,2001,325,359990,0.9
Rolls-Royce,"Phantom Drophead Coupe",Convertible,2016,453,492000,0.92
Rolls-Royce,Phantom,Sedan,2016,453,492425,0.92
Rolls-Royce,"Phantom Drophead Coupe",Convertible,2015,453,479775,0.94
Rolls-Royce,Phantom,Sedan,2015,453,480175,0.94
Rolls-Royce,"Phantom Drophead Coupe",Convertible,2014,453,474600,0.95
Rolls-Royce,Phantom,Sedan,2014,453,474990,0.95
Rolls-Royce,"Phantom Coupe",Coupe,2016,453,449525,1.01
Ferrari,Enzo,Coupe,2003,660,643330,1.03
Rolls-Royce,"Phantom Coupe",Coupe,2015,453,438325,1.03
Rolls-Royce,"Phantom Coupe",Coupe,2014,453,433550,1.04
Rolls-Royce,Phantom,Sedan,2016,453,417825,1.08
Rolls-Royce,Phantom,Sedan,2015,453,407400,1.11
Rolls-Royce,Phantom,Sedan,2014,453,402940,1.12
Rolls-Royce,"Park Ward",Sedan,2002,322,262990,1.22
Rolls-Royce,"Park Ward",Sedan,2001,322,259900,1.24
Maybach,62,Sedan,2010,631,506500,1.25
Mercedes-Benz,"SLR McLaren",Convertible,2008,617,495000,1.25
Mercedes-Benz,"SLR McLaren",Convertible,2009,617,495000,1.25
Maybach,62,Sedan,2012,543,430450,1.26
Maybach,62,Sedan,2011,543,423500,1.28
Bentley,Continental,Coupe,2003,420,328990,1.28
Maybach,62,Sedan,2010,543,417000,1.3
Lamborghini,Aventador,Convertible,2014,720,548800,1.31
Lamborghini,Aventador,Convertible,2015,720,548800,1.31
Bentley,Continental,Coupe,2001,420,319900,1.31
Maybach,62,Sedan,2010,604,456500,1.32
Maybach,62,Sedan,2012,620,470350,1.32
Bentley,Continental,Coupe,2003,420,318990,1.32
Maybach,62,Sedan,2011,620,463000,1.34
Bentley,Azure,Convertible,2009,450,334990,1.34
Mercedes-Benz,"SLR McLaren",Coupe,2007,641,480000,1.34
Bentley,Azure,Convertible,2007,450,329990,1.36
Bentley,Azure,Convertible,2008,450,329990,1.36
Bentley,Continental,Coupe,2001,420,309900,1.36
Bentley,"Azure T",Convertible,2010,500,363000,1.38
Porsche,"Carrera GT",Convertible,2004,605,440000,1.38
Porsche,"Carrera GT",Convertible,2005,605,440000,1.38
Maybach,57,Sedan,2010,631,455500,1.39
Lamborghini,Aventador,Convertible,2016,750,535500,1.4
Bentley,Continental,Coupe,2001,420,299900,1.4
Rolls-Royce,"Silver Seraph",Sedan,2002,322,229990,1.4
Maybach,57,Sedan,2012,543,379050,1.43
Bentley,Continental,Coupe,2001,400,279900,1.43
Lamborghini,Aventador,Coupe,2014,720,497650,1.45
Lamborghini,Aventador,Coupe,2015,720,497650,1.45
Maybach,57,Sedan,2011,543,372500,1.46
Rolls-Royce,"Silver Seraph",Sedan,2001,322,219900,1.46
Lexus,LFA,Coupe,2012,552,375000,1.47
Maybach,57,Sedan,2010,543,366000,1.48
Maybach,57,Sedan,2012,620,418950,1.48
Maybach,57,Sedan,2010,604,405500,1.49
Lamborghini,Murcielago,Coupe,2010,670,450000,1.49
Maybach,57,Sedan,2011,620,412000,1.5
Lamborghini,Aventador,Coupe,2016,750,490700,1.53
Bentley,Brooklands,Coupe,2009,530,340990,1.55
Bentley,Brooklands,Coupe,2010,530,340990,1.55
Lamborghini,Aventador,Convertible,2016,700,443800,1.58
Bentley,Mulsanne,Sedan,2016,530,335600,1.58
Lamborghini,Aventador,Convertible,2014,700,441600,1.59
Lamborghini,Aventador,Convertible,2015,700,441600,1.59
Ferrari,599,Coupe,2011,661,410000,1.61
Lamborghini,Murcielago,Convertible,2009,631,392400,1.61
Lamborghini,Murcielago,Convertible,2009,631,382400,1.65
Bentley,Mulsanne,Sedan,2015,505,303700,1.66
Bentley,Mulsanne,Sedan,2016,505,303700,1.66
Lamborghini,Murcielago,Convertible,2008,632,378200,1.67
Bentley,Arnage,Sedan,2009,450,267990,1.68
Rolls-Royce,Dawn,Convertible,2016,563,335000,1.68
Bentley,Mulsanne,Sedan,2014,505,298900,1.69
Ferrari,"612 Scaglietti",Coupe,2009,532,313088,1.7
Ferrari,"612 Scaglietti",Coupe,2010,532,313088,1.7
Ferrari,"612 Scaglietti",Coupe,2011,532,313088,1.7
Bentley,Arnage,Sedan,2007,450,263990,1.7
Bentley,Arnage,Sedan,2008,450,263990,1.7
Bentley,"Continental GT3-R",Coupe,2015,572,337000,1.7
Rolls-Royce,"Ghost Series II",Sedan,2016,563,329325,1.71
Lamborghini,Murcielago,Convertible,2008,632,369200,1.71
"Aston Martin",DBS,Convertible,2012,510,295987,1.72
"Aston Martin",DBS,Convertible,2012,510,296387,1.72
Lamborghini,Murcielago,Coupe,2009,631,364000,1.73
Lamborghini,Aventador,Coupe,2016,700,399500,1.75
"Aston Martin",DBS,Convertible,2012,510,290861,1.75
Lamborghini,Aventador,Coupe,2014,700,397500,1.76
Lamborghini,Aventador,Coupe,2015,700,397500,1.76
"Aston Martin",DBS,Convertible,2012,510,290461,1.76
Rolls-Royce,"Ghost Series II",Sedan,2015,563,319400,1.76
"Aston Martin",Vanquish,Convertible,2016,568,320695,1.77
Lamborghini,Murcielago,Coupe,2009,631,354000,1.78
"Aston Martin",DBS,Convertible,2011,510,286739,1.78
"Aston Martin",DBS,Coupe,2012,510,284976,1.79
"Aston Martin",DBS,Coupe,2012,510,284576,1.79
"Aston Martin",DBS,Convertible,2010,510,283900,1.8
"Aston Martin",DBS,Convertible,2011,510,282295,1.81
Ferrari,Superamerica,Convertible,2005,532,294080,1.81
Spyker,C8,Convertible,2009,400,219990,1.82
"Aston Martin",DBS,Convertible,2010,510,279500,1.82
Lamborghini,Murcielago,Coupe,2008,632,345400,1.83
Bentley,Arnage,Sedan,2009,500,270990,1.85
"Aston Martin",DBS,Coupe,2012,510,275861,1.85
"Aston Martin",DBS,Coupe,2012,510,275461,1.85
"Aston Martin",Vanquish,Convertible,2016,568,305650,1.86
Rolls-Royce,Ghost,Sedan,2014,563,303300,1.86
"Aston Martin",DBS,Coupe,2011,510,273104,1.87
Lamborghini,Diablo,Coupe,2001,550,294900,1.87
Lamborghini,Murcielago,Coupe,2008,632,336400,1.88
"Aston Martin",Vanquish,Convertible,2015,568,301695,1.88
"Aston Martin",Vanquish,Coupe,2016,568,302695,1.88
"Aston Martin",DBS,Coupe,2010,510,270400,1.89
Ferrari,Superamerica,Convertible,2005,532,281170,1.89
Spyker,C8,Coupe,2009,400,209990,1.9
Spyker,C8,Coupe,2009,400,209990,1.9
"Aston Martin",DBS,Coupe,2011,510,268660,1.9
Rolls-Royce,"Ghost Series II",Sedan,2016,563,295850,1.9
Rolls-Royce,Ghost,Sedan,2013,563,296000,1.9
"Aston Martin",Vanquish,Convertible,2014,565,296295,1.91
Ferrari,599,Coupe,2009,611,320580,1.91
Ferrari,599,Coupe,2011,611,320580,1.91
"Aston Martin",DBS,Coupe,2010,510,266000,1.92
Ferrari,456M,Coupe,2002,442,228625,1.93
Ferrari,456M,Coupe,2003,442,228625,1.93
Rolls-Royce,Ghost,Sedan,2012,563,290000,1.94
Ferrari,550,Convertible,2001,485,248500,1.95
Rolls-Royce,"Ghost Series II",Sedan,2015,563,286750,1.96
"Aston Martin","V12 Vanquish",Coupe,2004,460,234260,1.96
"Aston Martin","V12 Vanquish",Coupe,2005,460,234260,1.96
"Aston Martin",Vanquish,Coupe,2016,568,287650,1.97
Ferrari,456M,Coupe,2001,442,223970,1.97
